City;Location;Coordinates;Country Code;Pollutant;Source Name;Unit;Value;Last Updated;Country
São Paulo;Brazil - São Paulo - Interlagos;-23.680508,-46.675045;BR;O3;Sao Paulo;µg/m³;68.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - Paulínia-Sul;-22.786806,-47.13656;BR;O3;Sao Paulo;µg/m³;23.0;2017-10-19T20:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Capão Redondo;-23.668356,-46.780045;BR;O3;Sao Paulo;µg/m³;59.0;2017-10-27T14:00:00-04:00;Brazil
São Bernardo do Campo;Brazil - São Bernardo do Campo - S.Bernardo-Centro;-23.698671,-46.54623;BR;O3;Sao Paulo;µg/m³;66.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Parque D.Pedro II;-23.544846,-46.627674;BR;O3;Sao Paulo;µg/m³;34.0;2017-10-27T14:00:00-04:00;Brazil
Sao Paulo;Brazil - Sao Paulo - São Caetano do Sul;-23.618443,-46.556355;BR;O3;Sao Paulo;µg/m³;71.0;2017-10-27T14:00:00-04:00;Brazil
Campinas;Brazil - Campinas - Campinas-V.União;-22.946728,-47.11928;BR;O3;Sao Paulo;µg/m³;3.0;2017-10-27T03:00:00-04:00;Brazil
Jundiaí;Brazil - Jundiaí - Jundiaí;-23.192003,-46.8971;BR;O3;Sao Paulo;µg/m³;130.0;2017-10-27T14:00:00-04:00;Brazil
Santos;Brazil - Santos - Santos-Ponta da Praia;-23.981295,-46.30051;BR;O3;Sao Paulo;µg/m³;74.0;2017-10-27T14:00:00-04:00;Brazil
São José Do Rio Preto;Brazil - São José Do Rio Preto - São José Do Rio Preto;-20.784689,-49.398277;BR;O3;Sao Paulo;µg/m³;109.0;2017-10-27T14:00:00-04:00;Brazil
São Paulo;Brazil - São Paulo - Itaquera;-23.580015,-46.466652;BR;O3;Sao Paulo;µg/m³;35.0;2017-10-27T13:00:00-04:00;Brazil
Paulínia;Brazil - Paulínia - Paulínia;-22.772322,-47.154842;BR;O3;Sao Paulo;µg/m³;138.0;2017-10-27T14:00:00-04:00;Brazil
